"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc34a2",7.93122483481763e-68,3.1118494690139,0.991,0.069,1.29001371938309e-63,"0","Slc34a2"
"Sftpb",1.04982807608962e-67,3.22299868381397,0.997,0.111,1.70754536575977e-63,"0","Sftpb"
"Cxcl15",6.30005383515051e-67,3.15929392559992,0.991,0.103,1.02470375628723e-62,"0","Cxcl15"
"Sftpa1",3.21054609204947e-66,3.52328193131295,0.998,0.236,5.22195321871847e-62,"0","Sftpa1"
"Scd1",7.91466390348168e-64,2.76417938698827,0.983,0.107,1.28732008390129e-59,"0","Scd1"
"Lamp3",1.46078577005674e-63,2.29528588043745,0.962,0.04,2.37596805499729e-59,"0","Lamp3"
"Chil1",1.65523213615056e-63,2.52191687111353,0.954,0.052,2.69223506944888e-59,"0","Chil1"
"Sftpd",4.16429953355753e-63,2.81247358021799,0.991,0.074,6.77323319133133e-59,"0","Sftpd"
"Sfta2",4.56309958488862e-63,2.61932713667222,0.982,0.056,7.42188147482134e-59,"0","Sfta2"
"S100g",7.13011828113443e-63,2.89834780219455,0.971,0.067,1.15971373842652e-58,"0","S100g"
"Sftpc",2.6618941534059e-62,3.80728052374966,0.999,0.688,4.3295708405147e-58,"0","Sftpc"
"Lpcat1",1.79069079201885e-60,1.9864865627472,0.952,0.105,2.91255857321866e-56,"0","Lpcat1"
"Npc2",3.92799798443292e-60,2.01147565915922,0.998,0.576,6.38888872168015e-56,"0","Npc2"
"Atp1b1",3.08394094813511e-58,1.89634709716582,0.948,0.121,5.01602995214176e-54,"0","Atp1b1"
"Wfdc2",3.81359918338605e-58,2.10005805170885,0.987,0.114,6.2028190717774e-54,"0","Wfdc2"
"Hc",2.11153027362673e-55,2.27664444336322,0.915,0.035,3.43440399005387e-51,"0","Hc"
"Cbr2",2.74288052273261e-55,1.80341665952032,0.982,0.136,4.46129517022459e-51,"0","Cbr2"
"Bex4",1.71164207351043e-54,1.94434038541999,0.86,0.036,2.78398583256472e-50,"0","Bex4"
"Ppp1r14c",3.27063199709802e-53,1.80240816381281,0.869,0.05,5.31968294327993e-49,"0","Ppp1r14c"
"Lyz2",1.57054093255578e-51,1.87411509311475,0.993,0.517,2.55448482680198e-47,"0","Lyz2"
"Dram1",5.55819676279838e-51,1.74070625742945,0.88,0.076,9.04040703469157e-47,"0","Dram1"
"Chchd10",7.0587477959607e-51,1.38104804409775,0.958,0.199,1.14810532901301e-46,"0","Chchd10"
"Wbp5",2.34213007449074e-50,1.62244813637591,0.927,0.202,3.80947456615919e-46,"0","Wbp5"
"Abca3",1.10572164022331e-49,1.67253229831424,0.862,0.101,1.79845624782321e-45,"0","Abca3"
"Rnase4",1.92651796234198e-47,1.75003047648275,0.926,0.143,3.13348146574923e-43,"0","Rnase4"
"Cldn18",3.75657971170506e-46,1.29355337513596,0.901,0.134,6.11007690108829e-42,"0","Cldn18"
"Gde1",1.83511847701715e-45,1.37560111546087,0.862,0.18,2.98482020286839e-41,"0","Gde1"
"Alcam",7.85224306653703e-45,1.37619483146551,0.897,0.163,1.27716733477225e-40,"0","Alcam"
"Mid1ip1",2.3191123455039e-44,1.50088484598419,0.792,0.117,3.77203622996209e-40,"0","Mid1ip1"
"Lgi3",1.07264186692891e-43,1.52808799290306,0.758,0.03,1.74465199655988e-39,"0","Lgi3"
"Etv5",6.88741488805734e-43,1.50438870015324,0.757,0.043,1.12023803154253e-38,"0","Etv5"
"Pla2g1b",8.82768618635215e-43,1.59831348589085,0.744,0.028,1.43582315821018e-38,"0","Pla2g1b"
"Ptprf",5.79276135265467e-42,1.51468311556105,0.797,0.079,9.42192634009282e-38,"0","Ptprf"
"Elovl1",5.89529645807078e-42,1.55635236106919,0.814,0.162,9.58869968905212e-38,"0","Elovl1"
"Vamp8",6.63301612632284e-42,1.07562415413732,0.98,0.528,1.07886007294641e-37,"0","Vamp8"
"Lcn2",2.64614102162948e-41,1.6314463429283,0.685,0.035,4.30394837168035e-37,"0","Lcn2"
"Fasn",4.96263737223931e-41,1.64165709426883,0.788,0.06,8.07172968594724e-37,"0","Fasn"
