"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl6",1.37215731358678e-14,0.411008412442,0.993,0.914,2.20684060744162e-10,"0","Rpl6"
"Rpl35a",1.68010167881272e-14,0.366868460613914,0.999,0.942,2.70210753003449e-10,"0","Rpl35a"
"Rps23",2.36019149236046e-14,0.290314867997436,0.999,0.956,3.79589597716332e-10,"0","Rps23"
"Ralgps2",2.62446096692694e-14,1.1241264479731,0.399,0.09,4.2209205731086e-10,"0","Ralgps2"
"Ly6e",7.7735261879123e-14,0.569739960665524,0.914,0.702,1.25021621680193e-09,"0","Ly6e"
"Rps3",8.70951657890878e-14,0.382969340126641,0.992,0.912,1.4007515513859e-09,"0","Rps3"
"Rps25",1.08180514422189e-13,0.409663702555705,0.991,0.928,1.73986721345207e-09,"0","Rps25"
"H2-DMa",1.89658354820982e-13,0.991180645087731,0.558,0.265,3.05027532058586e-09,"0","H2-DMa"
"Rpl32",2.21774611811355e-13,0.362920709375952,0.998,0.92,3.56680108176203e-09,"0","Rpl32"
"H3f3a",2.63085798711816e-13,0.575241596598192,0.967,0.895,4.23120890068214e-09,"0","H3f3a"
"Rpl36",2.89125739147133e-13,0.384670951884173,0.987,0.894,4.65000926270335e-09,"0","Rpl36"
"Rpl38",3.03397574220292e-13,0.380426865991606,0.988,0.909,4.87954318618496e-09,"0","Rpl38"
"Rps28",3.10589402094561e-13,0.322695248685337,0.994,0.892,4.99520935388682e-09,"0","Rps28"
"Rpl7",4.03064170770265e-13,0.378172113531714,0.97,0.895,6.48248105849817e-09,"0","Rpl7"
"Rpsa",6.06179301525786e-13,0.421777111974085,0.976,0.846,9.74918170643922e-09,"0","Rpsa"
"Cd55",1.17828348283104e-12,1.11500770548357,0.446,0.131,1.89503332543717e-08,"0","Cd55"
"Rpl11",4.32692349024385e-12,0.408857731107507,0.99,0.904,6.95899104935918e-08,"0","Rpl11"
"Rps2",4.76081376878022e-12,0.324991900386513,0.972,0.885,7.65681678432923e-08,"0","Rps2"
"Rpl14",7.90315734218346e-12,0.384584232413842,0.983,0.891,1.27106479534337e-07,"0","Rpl14"
"Rpl3",1.12120077710116e-11,0.358783501467743,0.973,0.849,1.80322720981179e-07,"0","Rpl3"
"H2-Ob",1.29587372626104e-11,1.20771252597205,0.477,0.106,2.08415371394564e-07,"0","H2-Ob"
"Wdr89",1.67081709174349e-11,0.36766323379506,0.948,0.848,2.68717512865106e-07,"0","Wdr89"
