"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sfta2",3.46849708934278e-73,2.56439943077038,0.963,0.032,5.66578999544143e-69,"0","Sfta2"
"Sftpd",1.16844247977786e-72,3.10249819066755,0.992,0.055,1.90865079071714e-68,"0","Sftpd"
"S100g",3.57737067743919e-72,3.1515180408301,0.965,0.043,5.84363500159692e-68,"0","S100g"
"Sftpb",1.99846993391168e-71,3.56429294438717,0.994,0.095,3.26450063704472e-67,"0","Sftpb"
"Slc34a2",2.79627286956926e-71,3.30810591211011,0.982,0.056,4.56771173244139e-67,"0","Slc34a2"
"Lamp3",1.92552916178584e-69,2.34036223852189,0.95,0.028,3.14535188577717e-65,"0","Lamp3"
"Sftpa1",4.34355548662538e-69,4.15837183385909,0.996,0.22,7.09519788740256e-65,"0","Sftpa1"
"Cxcl15",1.15587264840302e-68,3.60510363873983,0.982,0.099,1.88811797116633e-64,"0","Cxcl15"
"Scd1",3.28509770886752e-68,3.20726285128182,0.976,0.111,5.3662071074351e-64,"0","Scd1"
"Hc",2.82755359329027e-66,2.22445085217931,0.867,0.018,4.61880879463965e-62,"0","Hc"
"Wfdc2",2.37691051133236e-65,2.34350978267012,0.988,0.092,3.8826833202614e-61,"0","Wfdc2"
"Chil1",4.346591806455e-65,2.75945852044936,0.94,0.043,7.10015771584424e-61,"0","Chil1"
"Sftpc",4.54181364195478e-65,4.60717072305893,0.999,0.723,7.41905258413314e-61,"0","Sftpc"
"Npc2",2.80728792511266e-62,1.94974942826304,0.994,0.613,4.58570482567153e-58,"0","Npc2"
"Lpcat1",9.48328435239609e-62,2.04359185568884,0.932,0.093,1.5490944989639e-57,"0","Lpcat1"
"Dram1",3.7134436364259e-61,1.73360352262399,0.884,0.057,6.06591018010171e-57,"0","Dram1"
"Cldn18",1.47823590955317e-58,1.55077211456528,0.859,0.049,2.4146983582551e-54,"0","Cldn18"
"Elovl1",2.88086591502859e-58,2.09214235054315,0.896,0.134,4.70589447219921e-54,"0","Elovl1"
"Lcn2",3.27675114630217e-56,2.37236707133119,0.821,0.03,5.3525729974846e-52,"0","Lcn2"
"Ager",1.10381677616562e-54,1.24924407342649,0.854,0.063,1.80308470386655e-50,"0","Ager"
"Cbr2",3.58926066801042e-54,1.85163191564668,0.941,0.093,5.86305730119502e-50,"0","Cbr2"
"Nkx2-1",1.95782285901464e-53,1.44947253378355,0.78,0.039,3.19810364020042e-49,"0","Nkx2-1"
"Ppp1r14c",1.96025225574404e-53,1.71723813126498,0.85,0.03,3.20207205975788e-49,"0","Ppp1r14c"
