"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sftpb",2.92274043201974e-70,3.16221852598178,0.994,0.114,4.75383731268011e-66,"0","Sftpb"
"Sftpd",9.99250953365554e-70,2.75401915905587,0.989,0.077,1.62528167564907e-65,"0","Sftpd"
"Slc34a2",1.33353488393987e-69,3.05038615004527,0.988,0.073,2.16899448872819e-65,"0","Slc34a2"
"Sfta2",4.02436189103747e-68,2.58757033294258,0.98,0.059,6.54562461577245e-64,"0","Sfta2"
"Cxcl15",5.28796350390505e-68,3.11443056523376,0.989,0.106,8.60087263910157e-64,"0","Cxcl15"
"S100g",1.73016044526323e-67,2.86698889874085,0.97,0.069,2.81410596422065e-63,"0","S100g"
"Scd1",6.79486637874042e-67,2.73696826393902,0.981,0.11,1.10518501650213e-62,"0","Scd1"
"Sftpa1",1.05374154491551e-66,3.42816375368812,0.994,0.239,1.71391062280507e-62,"0","Sftpa1"
"Wfdc2",5.14053353416342e-66,2.0717973104523,0.985,0.117,8.3610777933168e-62,"0","Wfdc2"
"Lamp3",5.8600499315328e-66,2.27341700674308,0.96,0.044,9.53137121363811e-62,"0","Lamp3"
"Sftpc",2.12530333727688e-64,3.69661022008988,0.998,0.689,3.45680587808085e-60,"0","Sftpc"
"Chil1",1.75247394943407e-63,2.49515897175098,0.953,0.055,2.85039887875451e-59,"0","Chil1"
"Atp1b1",1.31598463854931e-62,1.87827361011672,0.946,0.124,2.14044901460045e-58,"0","Atp1b1"
"Hc",2.2661379799361e-62,2.25285821276078,0.915,0.037,3.68587342436607e-58,"0","Hc"
"Npc2",5.70206951469408e-62,1.9960330345993,0.996,0.578,9.27441606564992e-58,"0","Npc2"
"Lpcat1",4.11740742704137e-61,1.9639564055369,0.948,0.108,6.69696318008279e-57,"0","Lpcat1"
"Cbr2",5.9604007773585e-61,1.78661156704737,0.982,0.139,9.6945918643736e-57,"0","Cbr2"
"Dram1",1.20728336672678e-57,1.72615765143656,0.879,0.078,1.96364639598111e-53,"0","Dram1"
"Bex4",5.52635982036118e-57,1.92657945868619,0.859,0.038,8.98862424781747e-53,"0","Bex4"
"Ppp1r14c",1.42023502122124e-55,1.78643974621226,0.867,0.053,2.31001226201635e-51,"0","Ppp1r14c"
"Lyz2",1.21622901151599e-51,1.85949105386987,0.991,0.518,1.97819648723076e-47,"0","Lyz2"
"Rnase4",2.13153547992047e-51,1.73440781902271,0.924,0.146,3.46694245809064e-47,"0","Rnase4"
"Lgi3",8.69283176442873e-51,1.51873362889412,0.756,0.033,1.41388908648433e-46,"0","Lgi3"
"Wbp5",3.49430666407735e-50,1.61118563869531,0.925,0.205,5.68348978912181e-46,"0","Wbp5"
"Pla2g1b",3.32609758710824e-49,1.58781284758302,0.742,0.03,5.40989772543155e-45,"0","Pla2g1b"
"Chchd10",4.64152380419831e-48,1.37307862288798,0.957,0.202,7.54943846752855e-44,"0","Chchd10"
"Abca3",1.54135658156947e-46,1.66700254631707,0.86,0.103,2.50701647992274e-42,"0","Abca3"
"Cldn18",4.93711096539069e-46,1.28845101012508,0.9,0.136,8.03021098520795e-42,"0","Cldn18"
"Sdc4",7.01825098233943e-46,1.31279836248918,0.814,0.125,1.14151852227751e-41,"0","Sdc4"
"Car8",1.54066521371916e-45,1.46719577151106,0.724,0.052,2.50589197011421e-41,"0","Car8"
"Fasn",1.83528253491424e-44,1.64432563205833,0.789,0.062,2.985087043038e-40,"0","Fasn"
"Elovl1",1.71969585065757e-43,1.55211680563263,0.816,0.163,2.79708530109454e-39,"0","Elovl1"
"Gde1",2.5404348115181e-43,1.36338491647156,0.858,0.183,4.13201722093419e-39,"0","Gde1"
"Etv5",3.26970030824188e-43,1.49010181675737,0.754,0.045,5.31816755135542e-39,"0","Etv5"
"Ager",3.57117229158801e-43,0.486516500546252,0.916,0.175,5.8085117322679e-39,"0","Ager"
"Ptprf",1.12682434615141e-42,1.49165514331617,0.794,0.082,1.83277979901526e-38,"0","Ptprf"
"Cpm",1.14685245829896e-42,1.34588729105846,0.689,0.055,1.86535552342325e-38,"0","Cpm"
"Bex2",2.0462950552265e-40,1.79817033074049,0.687,0.028,3.3282989073259e-36,"0","Bex2"
"Zdhhc3",3.19249514223447e-40,1.36940628505031,0.716,0.111,5.19259334884437e-36,"0","Zdhhc3"
"Lcn2",3.24860224002531e-40,1.6219435205488,0.685,0.037,5.28385154340117e-36,"0","Lcn2"
"Muc1",1.44202527040783e-39,1.2068040697744,0.621,0.035,2.34545410231833e-35,"0","Muc1"
"Vamp8",4.16165627679873e-39,1.06989775324901,0.98,0.53,6.76893393421314e-35,"0","Vamp8"
"Alcam",4.41252416722616e-39,1.361229141831,0.895,0.166,7.17697055799334e-35,"0","Alcam"
"Fabp5",4.95308175022956e-39,1.61791542081937,0.819,0.161,8.05618746674838e-35,"0","Fabp5"
"Cldn3",1.5749481317947e-38,1.26497639600454,0.679,0.05,2.56165313636408e-34,"0","Cldn3"
"Avpi1",7.96591559178729e-38,1.08891656883632,0.73,0.126,1.2956561710042e-33,"0","Avpi1"
"Smim6",8.96947623670703e-38,1.18527712732464,0.614,0.04,1.4588853099004e-33,"0","Smim6"
"Atp8a1",9.36909340563022e-38,1.12038643296403,0.821,0.17,1.52388304242575e-33,"0","Atp8a1"
"Ank3",1.19980395211979e-37,1.3497803449773,0.689,0.04,1.95148112812284e-33,"0","Ank3"
"Spint2",2.83770184763434e-37,1.17896123401365,0.876,0.18,4.61552205517725e-33,"0","Spint2"
"Cmtm8",9.55462964252731e-37,1.17901117822103,0.685,0.074,1.55406051135707e-32,"0","Cmtm8"
"Tgoln1",1.68793854624972e-36,1.16181987358953,0.781,0.191,2.74543204547518e-32,"0","Tgoln1"
"Egfl6",5.1945168026808e-36,1.3312728534895,0.663,0.024,8.44888157956032e-32,"0","Egfl6"
"Socs2",7.43127977608432e-36,1.12700175816823,0.759,0.15,1.20869765558011e-31,"0","Socs2"
"Atp11a",8.93614986974033e-36,1.27966869836304,0.712,0.09,1.45346477631326e-31,"0","Atp11a"
"Prnp",1.54134861383539e-35,1.1830112939481,0.649,0.062,2.50700352040326e-31,"0","Prnp"
"Mid1ip1",2.9915775945583e-35,1.49506444452992,0.793,0.119,4.86580095754908e-31,"0","Mid1ip1"
"Nkx2-1",3.51726239095455e-35,1.33659280204247,0.744,0.068,5.72082727888758e-31,"0","Nkx2-1"
"Scd2",6.25282397623678e-35,1.12377706511381,0.794,0.128,1.01702181973491e-30,"0","Scd2"
"Cd63",2.35460147045101e-34,1.12447212905414,0.819,0.166,3.82975929168856e-30,"0","Cd63"
"Napsa",4.18691694547151e-34,1.32495292636901,0.901,0.222,6.8100204118094e-30,"0","Napsa"
"Aqp5",4.54829148050976e-34,0.863448590304478,0.68,0.078,7.39779609304912e-30,"0","Aqp5"
