"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps231",1.38195730318178e-19,0.492468250876956,0.802,0.679,3.24068987596128e-15,"3","Rps23"
"Rpl131",4.02069476468219e-19,0.665567029970829,0.717,0.624,9.42852922317975e-15,"3","Rpl13"
"Rpl27a1",1.29478229402478e-18,0.541262462773309,0.652,0.556,3.03626447948811e-14,"3","Rpl27a"
"Coro1a",2.6981711207033e-18,0.732904337205661,0.564,0.316,6.32721127804925e-14,"3","Coro1a"
"Rpl26",2.76103152664399e-18,0.47886027947174,0.815,0.74,6.47461892998017e-14,"3","Rpl26"
"Shisa5",4.69621933411339e-18,0.837237958212971,0.528,0.317,1.10126343384959e-13,"3","Shisa5"
"Cd521",1.9243391823605e-17,0.646438978346305,0.675,0.406,4.51257538263538e-13,"3","Cd52"
"Rpl23a1",3.41905158871411e-17,0.437338201758374,0.714,0.627,8.01767597553459e-13,"3","Rpl23a"
"Rpl61",4.34789131318501e-17,0.532942442741084,0.641,0.539,1.01958051294189e-12,"3","Rpl6"
"Rps51",5.14019832128064e-17,0.513049008949865,0.683,0.585,1.20537650634031e-12,"3","Rps5"
"Rpl91",5.78795822949363e-17,0.530257635545391,0.623,0.526,1.35727620481626e-12,"3","Rpl9"
"Rpl37",1.12852013572432e-16,0.391669012924224,0.832,0.78,2.64637971827354e-12,"3","Rpl37"
"Rps291",1.2683590373225e-16,0.481153145580445,0.746,0.649,2.97430194252126e-12,"3","Rps29"
"Rpl4",2.65411516742142e-16,0.498003503404099,0.79,0.691,6.22390006760323e-12,"3","Rpl4"
"Rpl35",2.88269724694017e-16,0.509517580719415,0.743,0.647,6.75992504407469e-12,"3","Rpl35"
"Rps15",4.95337607156712e-16,0.452281526736884,0.743,0.665,1.16156668878249e-11,"3","Rps15"
"Rps6",1.20393107386178e-15,0.735391751775309,0.513,0.359,2.82321836820588e-11,"3","Rps6"
