,0
Itpkb,0.05364770064615409
Tmem30a,0.05328058942095907
Cyp4b1,0.05261839380299537
Col1a2,0.05259878834933633
Unc93b1,0.052146304702962665
H2-Ob,0.050905755768376866
Nono,0.05035387388066016
Dapl1,0.05029194479647417
Gm43603,0.049406502480181254
Ms4a1,0.04893473800074347
Rps24,0.04843047300835847
Rpl32,0.048342797209221175
Ppbp,0.047957130279775835
H2-DMb2,0.047870085535047444
Hes1,0.04679968935261232
Fcmr,0.046181511952172585
Clic4,0.04475923004613221
Ccna2,0.04411896846274511
Cd22,0.043981027536147924
Bank1,0.04364015781618664
Rps25,0.04331882796833305
Eef2,0.04213983319088303
Cst3,0.04199546266755618
B2m,0.041602125879016766
Klri2,0.041339785370830585
Ager,0.0412152293584606
Arpc1b,0.04024884047259667
Rps15,0.04009017399599747
Top2a,0.039946987774348866
Gzmb,0.037944721631676774
Hmgb2,0.037613552073501054
Rpl10-ps3,0.0372845279907476
Pyhin1,0.0366012820847334
mt-Atp8,0.036342934336618185
Nap1l1,0.03538768285815777
Plek,0.035182464756087044
Selk,0.03514369088451526
Tsg101,0.034905128452263644
Eif3f,0.034773637529008375
Ifi30,0.03462169246469178
Mif4gd,0.03422550598707984
Cd19,0.03387273117347232
5031425E22Rik,0.03382522778829653
mt-Nd4l,0.03356541273260603
Cox8a,0.03313846410829862
Gpx3,0.032646035933731506
Ear1,0.032053739100088886
Ccnb2,0.03190564634111051
Atg101,0.03185181970727024
Rps11,0.031659378747324884
Jakmip1,0.031095056909180952
H2-Aa,0.031012594554615452
Eif3h,0.0306693890913364
Ccl3,0.030091053755692772
Tmem128,0.02966528860245494
Dazap2,0.02964195393676213
Aldh1a1,0.02953090861727599
Ube2h,0.029315135173235224
Pbrm1,0.029300129383823037
Actg1,0.02908598202139688
Dynll1,0.02902976229696755
Serbp1,0.028990100359922895
Hmcn1,0.028729840875137164
Nr4a1,0.028074842494765415
Tec,0.02803989844881214
Rpl11,0.02800513472967457
Mndal,0.027767441547306666
Myo1c,0.02724160120288438
H2afz,0.027166373707491136
Reep5,0.027092254927042404
Klf3,0.02709143205789974
Limd2,0.026964821222361775
Rps10,0.026699510684562246
Hsp90ab1,0.026649182194691926
Krt79,0.026450651163865614
Rps3,0.026309358632431945
Rpl10a,0.025919384702892036
Rps21,0.02584014172019528
Rpl37,0.025475251865495433
Cpm,0.025148385392283576
Cryab,0.02514091890894161
Zbtb20,0.024004539980883862
Uba6,0.023844833122738704
Ndufv3,0.02342691598891527
Bmyc,0.0233703699479112
Ddt,0.023047939869698143
Ncr1,0.022827744339561633
Ppp1ca,0.02272723705290997
Rpl7,0.022670303997088158
Ivns1abp,0.02242426093845197
Plekho1,0.022401037406271224
Cd209a,0.021875047685943276
Shfm1,0.021484756688050846
March1,0.020679059335470065
Serping1,0.020631980983903495
Rps12-ps3,0.02048893030055193
Rps27a,0.020328871064754957
Rpl22,0.019773367368810035
Rps14,0.019591324935817844
Fbxo4,0.019351962394591003
1110017D15Rik,0.01921568182590766
Pglyrp1,0.019143767664314706
Ccr2,0.01899772028307857
Taf9b,0.018639653186898343
Enah,0.018372474948359398
Cd24a,0.018285967201301136
Rpl28,0.018231797450903402
Rrm2,0.017996675009921005
Col4a4,0.01776935177220285
Sftpa1,0.017210260519272887
Osbpl8,0.017055664809270562
Loxl1,0.016931903368814498
Apoe,0.016592744864463358
Cd72,0.016568361413155833
Ltbp4,0.016462824832131868
Rpl27,0.016389835883058968
Clec3b,0.01607625219138188
Ptma,0.016009770415249727
Ckap2l,0.015521001358302734
Samhd1,0.015339357418867449
Msrb1,0.015287075845477937
Wdfy4,0.015199554175028204
Ctsz,0.015062526434477187
Anxa7,0.014848914369701163
Hmgcl,0.014809019785478201
Crip1,0.014528951498831532
Kdm3b,0.014416528369568693
Gm43291,0.014314418011255879
Rpl39,0.01429152417292332
Dennd1b,0.014196392680559049
Cd93,0.01413242977792809
Nub1,0.014108748682818069
Sh3bgrl3,0.013836535321565981
Mnat1,0.013276906226361285
Col1a1,0.013210293723201505
Rpl7a,0.013171206815175047
Nxt1,0.013169617634779677
Atpaf2,0.0130672181917039
Col4a3,0.012928257620338756
Rbm22,0.012764741845303716
Dcaf8,0.012587292793294624
Gm10116,0.012400267158949875
Wdr76,0.012247109813816243
Rtkn2,0.012156411855826915
Tcf7,0.011981993364705935
Rpl12,0.011851493281107945
Tagln,0.01175377234790756
Siglech,0.01130933318050269
Pf4,0.011215325020095573
Itm2b,0.01117315942957514
H3f3a,0.01104944784381998
Bex4,0.010995975705888918
Eif3e,0.01098312624477932
Lrrc32,0.010773990912333201
Xkrx,0.010639530262078917
Gpr18,0.010605397517546586
Rpl27-ps3,0.010564203096986184
H2-DMa,0.010360788396243669
Acadl,0.010270522225120489
Rnase6,0.010183836997303287
Cbx6,0.010077503885369718
Bdnf,0.010035171472998249
Kitl,0.009928886319887628
Npc2,0.009927690160086121
Kdm7a,0.00989852779482687
Gna12,0.009890424651910562
Gpd2,0.009880284220052162
Rarres2,0.009699898807479393
Ssr1,0.009674829866897137
Phtf2,0.0094934257200771
Tbc1d10c,0.009450854223136698
Fcer1a,0.009367650212186792
Gpsm3,0.009307734189140151
Mcfd2,0.009276600408679277
Rps26-ps1,0.00925460210222266
Dera,0.009183631565826463
Map4k1,0.009171101570235396
Rac2,0.009142256788052607
Gimap6,0.00909779284173909
Snap23,0.009004323315638909
Casp1,0.008967299417236086
Tnfrsf13c,0.00895431942390488
Rpl21,0.008878829465656666
Pds5b,0.008843866409621315
Brwd1,0.008708289472621054
Dguok,0.008641796214110358
Cxx1b,0.008617535538173023
Adam9,0.008599633654073468
Cyfip2,0.00846951145973394
Osbpl2,0.008442778590765374
Prrc2a,0.008381886741333557
Fzr1,0.008366013992218606
Sbk1,0.008315343712785285
Mest,0.008200645390746728
Calm1,0.008191229119923092
Adck4,0.008125546101512436
Fcer2a,0.008105301845534686
Abcg1,0.00803029425747351
Mrpl43,0.007971938142419518
Tubb5,0.007938319085308985
Gdf15,0.007841767638048757
Cyb561d1,0.00776403772160057
Stap1,0.007752595559931705
Lpcat1,0.00767477628187546
Gimap1,0.007625272566664669
Csnk2a1,0.007602629729461234
Fchsd2,0.0075647154650090144
Ifnar2,0.007534963670617423
Eif2ak3,0.0074128128978542115
Gle1,0.0073852644789446035
Pttg1ip,0.007317618366131981
Dhrs7b,0.007217080345780919
Fabp5,0.007102817270069131
Arhgef1,0.007039869201013219
Rac3,0.006934510289056518
Eef2kmt,0.006926717562013497
Sepp1,0.0068256801952008925
Lgals1,0.006763451456851487
Cd63,0.006707864671713916
Trim5,0.006637615899466668
Rbms3,0.00662609207750015
Hvcn1,0.00661470213719503
Lat,0.006477652313519553
Rps15a,0.00647487229845987
Ngly1,0.006472666055834799
Cd200r3,0.0064329093458679485
Klrb1b,0.006424892761024488
Dynlrb2,0.006412168696283216
Rpl35,0.006360648544302011
Dock11,0.0063498199258749345
Blk,0.006137963542398525
Dph3,0.006109191947119851
Igfbp7,0.006035299993039365
Rad9a,0.0060191871408857185
Srrt,0.005985950957622826
Acp5,0.00589108837794876
Cecr2,0.005861578353806038
Rpl23,0.005842264156796119
Rbm5,0.005764390999625753
Dcaf12,0.005759610565085031
Ms4a2,0.005714328698795255
Ralgps2,0.005704490298740607
Gm15675,0.005669119699264141
Tmem230,0.005615632283044391
Man1a,0.005591354828935805
Chst3,0.005581657225203742
Tceb1,0.005570495527184233
Cdo1,0.005543592842823245
Sat1,0.005419822607269019
Neil1,0.00538997925830752
Gm10076,0.005365816498655406
Cr2,0.0053437095454481375
Sec61b,0.005293503435555604
Map3k8,0.005263306108016624
Bloc1s1,0.005250391115245095
Gbp2,0.005247061651247965
Cacna1e,0.005205876488152287
Rpl31,0.005202660505317802
Cdk1,0.005193750894180946
Lef1,0.005182566682524974
Pmf1,0.00516961321686
Ndufb8,0.005147129040903896
Wdr75,0.005124648365046341
Micu3,0.005101751658423882
Tmem69,0.005093569025496726
Traf5,0.005057828202627616
Inpp5k,0.005039675525668265
Cep164,0.005036414152856204
S100a16,0.005029671679251081
Mterf4,0.005026948493316447
Aldh3b1,0.0050125598009479605
Mccc2,0.0049500294236099526
Hepacam2,0.004919417858839488
Gm2000,0.004866960733261601
Sparcl1,0.004851518977874194
Ctso,0.004843522179491272
Xpa,0.004834432018347169
1700123O20Rik,0.004761957482875298
Card6,0.004667873517627533
Tonsl,0.004624497354153281
Actr1a,0.0045346114015532915
Fcrla,0.004407972803769542
Rpl3,0.004395579628629783
Cxcl15,0.004367601763953298
Cdkn1a,0.004367549324446806
Ogn,0.004352118596612293
Snx29,0.0043500615502794346
Mcpt8,0.004321273854162485
Stk11,0.0042426646347342835
Strbp,0.004198397012993098
Pogz,0.004148604327623367
Nbeal1,0.00412461015785687
Lrmp,0.004072868253452129
Ifi27l2a,0.004058540156830606
Gm17541,0.004055032920726196
Rpl17,0.0040500066236094905
Zfp831,0.004027165674301761
Ndufs7,0.004016382311131836
Cyp4f16,0.004015259475544988
Plat,0.003984512250196844
Sec14l3,0.003975788984756996
Birc5,0.003964382320992214
Il9r,0.003933117639161957
Glmn,0.003920343724724013
Limk2,0.003916448182201355
Gsn,0.003914602397952235
Apex1,0.0038516354291317726
Crim1,0.0038161560102755155
Uchl3,0.0037970435753692175
Rec8,0.0037728559722662596
Rfc3,0.003764128511355689
C1qtnf7,0.003720292926795296
Ccr7,0.003702052885383412
Tmem208,0.0036436246155368917
Aim2,0.0036118689478856227
Tmem104,0.0035502130440862286
Siglecg,0.0035380552970507686
Ly6a,0.0035060986052682856
Susd1,0.0034688213567001585
Fech,0.003403968410837021
Vpreb3,0.0033964217603004933
Phyh,0.003319225376897129
Zfp512,0.0032614740210937525
R3hdm1,0.0032237814676755903
Fcgr4,0.0031939865850760902
Marc2,0.0031862779707345634
Zfp772,0.0031736942259824007
Ccl5,0.003146929533654473
Pdk1,0.0031362190483849813
2610035D17Rik,0.0030947254710701412
Srpk3,0.003083367161905251
Tmem2,0.0030217806986767713
Fgd2,0.003011700041924779
Ptpn18,0.0030084395049905363
Sik2,0.0029634959484411663
Ralgds,0.002916259977683677
Zfand1,0.0029074802992712185
Rnf139,0.002865764093495109
Ubxn2a,0.002862425135940084
Ccl22,0.0028438561673289338
Pxdc1,0.002836026099665286
Pax5,0.0028209998894091967
Gm12258,0.002819060857598936
Impa2,0.0028158793943917383
Ppip5k1,0.0028087925752392435
Mttp,0.0027980824350558736
Smg5,0.0027899541873053213
Kin,0.0027811410641433686
Tbc1d4,0.002780950324944397
Aebp2,0.002748731016204961
Gm15912,0.0027374706668318476
Mvb12b,0.002724351401563681
Eif1a,0.002679127015964689
Mfng,0.002674061711798783
Mtg1,0.0026665108398215994
Kidins220,0.002643578862531621
Npw,0.0026379540014609747
Nxf1,0.0026329584353248477
Gpr183,0.00260912364892654
Commd5,0.0025879580546514422
Cluap1,0.0025289070080235336
Scp2,0.0025032209285036117
Fam169b,0.0024888170471461224
Wdr61,0.002484792980485079
Tmem51,0.0024839018030331835
Lbh,0.0024811846105269827
Gm15232,0.002472590364180967
Tbl2,0.0024556619122270726
Clic3,0.0024457349797151295
Aaas,0.002439448036202093
Rpl18,0.002438887217119838
Akt1,0.002426109353478446
Poldip2,0.002415478558338111
Rbmxl1,0.002391919073963718
Mzb1,0.0023864538941894653
Smap2,0.002358831378432102
Med1,0.0023521881615412607
Dpy19l1,0.002332867309420599
Sdad1,0.0023264029442096328
Ivd,0.002306240070950727
Dcaf17,0.002272896807119511
Katnb1,0.002245697226103681
Zfp213,0.002233533835312931
Serpinb10,0.0022029947878346697
Pdzd11,0.002184477217876015
Rbm17,0.002166455281672813
Gpr19,0.002150691695091289
Scgb1a1,0.002069026858972777
Arfgef2,0.0020637656744885192
Fibin,0.0020386517298512812
Acsl1,0.0020113793686272986
Gm11808,0.001997299941790337
Lancl1,0.0019888855251269932
Pacsin1,0.0019856359147099965
Hist1h3d,0.0019242246232975496
Cnp,0.0019224576284168498
Gm10138,0.001909706514024646
Bckdha,0.0018992389181463577
Il2ra,0.0018193391375597586
Relb,0.0018117451732218715
Tmem123,0.001810428996156637
Rbm42,0.001790314063718846
Rnf167,0.0017882414540857153
Guca1b,0.0017833956962645383
Sema3c,0.0017702614629093072
Il2rb,0.0017190030750169826
Dck,0.0017101733707720148
Foxp1,0.0016967412759046991
Tor4a,0.0016481702321126308
Slpi,0.0016415006068093987
Zbtb24,0.0016302954939590173
Slc25a12,0.0016280935671069148
Eef1d,0.001625456326759215
Tsc22d2,0.001602959668098324
Fpr2,0.0015952952437711639
Il4i1,0.0015943428838755289
Cd200,0.0015873031001298723
Susd3,0.0015589065871390085
B3gnt5,0.001552036962315047
Nhlrc2,0.0015172541293096962
Nudt16l1,0.001504072602951222
Ddx25,0.0014947605731232827
3110062M04Rik,0.0014907893398947692
Chchd1,0.0014813801191218908
Prkar1a,0.001473282175422183
Hars,0.0014647074598866515
Haao,0.0014601822957161909
Snrnp25,0.001453130895497845
Rbm19,0.0014512416335715247
Foxs1,0.001436883699906586
Tmem206,0.0014282842058034046
Tmem252,0.0014267608095257052
Bnip1,0.0014250191181987737
Gpatch1,0.0014043479485065533
Prok2,0.001374697531990768
Rasal3,0.001362221632612248
Bcl11b,0.0013577519329802021
Dnase2a,0.0013503993255501302
Metrn,0.0013487281276862598
Ctnnbl1,0.0013351277195106394
Fbxl6,0.0013314483770197115
Lypd2,0.0013107658627458025
Teddm2,0.001287681463197877
Med18,0.0012774713804601144
Ankib1,0.0012741338675233893
Nt5c3b,0.0012667816018165962
2900060B14Rik,0.0012431999171185419
Atp5a1,0.0012279093285288963
Zfx,0.0012120340757329688
Zfp866,0.001203252219121039
Spg11,0.0012006911427955083
Commd4,0.0011850708886609496
Ptcd3,0.0011756087594111454
Chchd2,0.00117291075672874
Acyp1,0.0011706627236452876
Med31,0.0011682126315258243
Rnf166,0.001158999781740573
Tradd,0.001151246160499704
Gm14154,0.0011259991676855039
Cacnb3,0.001118674583739968
Ezh2,0.0011022298277187253
Rab30,0.0010948434172444524
Agap2,0.001060133468278963
Il4,0.0010519376846096092
Erp44,0.0010396670657483356
Gm15133,0.0010263187697542536
Rnf157,0.0010226032746934463
Tmem115,0.0010200427541616891
Nudt15,0.0010132354109193115
Spaca1,0.0010109219208690946
Gm26890,0.0010083815527851547
Rhoh,0.0009960297105155625
Lair1,0.0009926178525044523
Ythdc2,0.0009732900357104057
Blnk,0.0009725610916408317
Elof1,0.0009678394012404106
Fscn1,0.0009664420220292158
Zfp689,0.0009618344828563455
Gm20506,0.0009595308283479379
Slc46a2,0.0009546354591481144
Gpihbp1,0.0009161342328546889
Arhgef6,0.0009068332132439895
A830080D01Rik,0.0009041563194619582
