,0
Ccl4,0.0006724532292608473
Slc9a9,0.0006683934694364123
Tkt,0.0006608836537548555
Cd209d,0.000656120231847857
Rcn1,0.0006530128057184272
9430060I03Rik,0.0006511096766059616
Cd226,0.0006459321798669497
Tacc3,0.0006439138633477985
Rgs18,0.0006436481403570858
Myh11,0.0006414039266179208
Cdca3,0.0006403732642167963
Klrb1f,0.0006137705017882885
2700097O09Rik,0.000609072935817463
Rps21,0.0006084325641773122
Rufy4,0.000605703235388873
Stk10,0.0005834903658456415
Selenbp1,0.0005822775479703273
Cx3cr1,0.000582122568492575
Bex6,0.0005695540409098025
Gprc5a,0.0005671303919394396
Rps27rt,0.0005561815330636349
Abl2,0.000553239595503219
2900093K20Rik,0.0005461249531516973
Klra9,0.0005435356570790091
Phf2,0.0005342009901235394
Npl,0.0005314743905372143
1110017D15Rik,0.0005250107421154542
Arid5b,0.0005181115699554919
Hnrnpa1,0.0005176622484397658
Cd2,0.0005171487587776438
Ctgf,0.0005131466791890281
Ushbp1,0.0004767199546255447
Setdb2,0.000463659566028267
Rsu1,0.00046339274712826455
Cfl1,0.00045869164579976404
Rpl17,0.0004577945609307647
Rab8a,0.00045742912388723356
Tspan13,0.00045090992645985934
Unc13d,0.000446624181930523
Ccdc166,0.00044198749023147604
Dnah5,0.0004336982870300569
Scgb3a2,0.0004171128333786908
Ckap2l,0.0004152538430282102
H2-M2,0.0004001046173072141
Srsf6,0.00039896754619896054
Cmss1,0.0003956161729623041
Ggt1,0.00037719156502408153
Tmem51,0.00037472975259529297
Rdh13,0.0003737845597582832
Fancm,0.0003709180672227124
Bmp2k,0.0003661390801302482
Hoxa3,0.00036085528165486505
Gmfg,0.00036049038529458995
Plagl2,0.0003596377140308671
Spin2c,0.00035760663515914073
Mctp2,0.0003513580826152211
Meig1,0.00034894437646626497
Pcca,0.0003461896987722971
Gm17619,0.0003454444875720833
Rpl32,0.00034492919335074953
Car14,0.0003420838183816667
Ankrd11,0.0003388047937524051
Cox5b,0.0003364521834395508
Farsb,0.0003333155495764869
Fam78a,0.0003299385173233751
Sema3g,0.00032933842479956394
Fam65c,0.00032690111393202174
Rap1b,0.0003265690061627812
Rpl28,0.00032595051142266245
Tuba1b,0.00032440958438682675
Gpbp1,0.0003228720872899681
Pik3cd,0.00031438665688447704
Epdr1,0.00031033040121324166
Rtel1,0.0003084736661559352
Lair1,0.00030114018888456997
Sirpa,0.0002887476221669669
Sv2c,0.0002870521898608599
Adipor2,0.00028446303547767087
mt-Nd5,0.000280877510153345
Cox6a2,0.00027555005887475365
Sh3bp5l,0.0002649982966610972
Mrpl43,0.000260706853400405
S1pr5,0.00025892931564791105
Batf3,0.00025034615724192383
C3ar1,0.00024927900538540803
Gp9,0.00024517120082833755
Prss23,0.00024121510101398271
Cox6c,0.00024105253680152704
B230208H11Rik,0.00024053763189527152
Fdxacb1,0.00022208644378852023
Adck1,0.000221330873067969
Ncaph,0.00022009246668603917
Txk,0.00021830424109991914
Fam71e1,0.00021627046614815446
Nudt19,0.00021465965255868154
Gstm1,0.00020769071787425132
Foxs1,0.0002011460618175065
Cd40lg,0.0001998340337255871
Agtr1a,0.00019853982939632516
Tnfrsf25,0.00019845502246581005
Il6,0.00019748396437769926
Traf3ip2,0.00018030655922862186
Kras,0.00017692038659597163
Mmrn2,0.00017587710330413595
Ctbp1,0.00017320589056572778
Slc6a17,0.0001669917279372336
Cp,0.00016472455363131133
Tpt1,0.00016425082265909588
Mef2c,0.00016394133462973326
Fgr,0.00016362051475202232
Bard1,0.00016220181140091022
Cep55,0.0001618217631217886
Tctex1d4,0.00015254024816861768
March3,0.00015245405184213375
Nolc1,0.00014474966817826378
Gorasp1,0.00014265681385496856
Gm28523,0.0001426404593573654
Slc4a11,0.00013864966848705151
Gm29440,0.00013230718829837404
B3galt2,0.0001312395930385174
Whrn,0.00013085772630790573
Ddx49,0.00012866152515542096
Fcnb,0.0001275793479586309
Atraid,0.00012629950743141516
Ppt1,0.00011840629924404078
Trem2,0.00011758853945160173
Hnrnpab,0.0001171639115048054
Gcsam,0.00011681846750425539
Vtcn1,0.00010672441677637009
4930524J08Rik,0.0001056636170852361
Rpl36-ps3,0.00010337529035232316
Noxo1,0.00010316574169935632
Cebpe,0.00010273034159305128
Susd6,0.00010047073388145099
Lrrc8b,9.908296192563842e-05
Fcgr2b,9.857808445863718e-05
Dcaf12,9.637321393640293e-05
Ccl22,9.54069074603647e-05
Actc1,9.369120967455606e-05
Dip2c,9.120794210809184e-05
Fblim1,9.037364057551456e-05
Sept1,8.972749994118508e-05
Cks1b,8.666633728550909e-05
3110082I17Rik,8.532155348313944e-05
H2-DMb1,8.456803891697909e-05
Nadk,8.440453365106184e-05
0610007P14Rik,8.228758844157594e-05
Ccdc153,7.368528149390459e-05
Reln,7.153203007819068e-05
Stard7,7.057890095398091e-05
Lgals3,6.909280249253291e-05
Mgst1,6.868967959379495e-05
Clnk,6.510324463629737e-05
Ywhah,6.424835407350545e-05
Skp1a,6.058962172645891e-05
Adamts9,5.889113458557383e-05
Brf1,5.854096232392774e-05
Klk1,5.801458556937019e-05
Nfam1,5.72858455084739e-05
Stc2,5.664518192667758e-05
Rarres2,5.624039225538762e-05
Art4,5.5333442576991454e-05
Gatm,5.528244652939913e-05
Coro1a,5.222591526586662e-05
Eif5b,5.033620219997333e-05
Fam83e,4.630307827954431e-05
BC051142,4.443519204849845e-05
Etv3,4.3311338027014114e-05
Itga4,4.075674114275707e-05
Gpsm3,3.903707930556974e-05
Zeb2,3.8698940492063895e-05
Pilrb1,3.802929274870051e-05
Flt3,3.78333306775829e-05
0610010F05Rik,3.767182737575083e-05
Csde1,3.6937055041855855e-05
Hivep1,3.338664752233346e-05
Gsto1,3.121454398357469e-05
Cacnb3,2.9158524029497463e-05
Ddx1,2.9096965182858987e-05
Arg1,2.728431528287193e-05
Gpc6,2.7080559690865602e-05
Csk,2.5122633672470413e-05
Sike1,2.459315823732475e-05
Efcab12,2.335555876009014e-05
Atf3,2.252608120022468e-05
Trp53,2.1938294878480438e-05
Cald1,2.1438557632015982e-05
Nrgn,1.844170655723971e-05
Tbc1d4,1.76268726393431e-05
Nrros,1.7006022688595854e-05
Slc27a3,1.6068175914134482e-05
Il4,1.6057792928610974e-05
Tnfrsf13c,1.4554896263126075e-05
Gm28836,1.2814347277352105e-05
Kcnab3,1.1075154331890954e-05
Ahnak,9.418011745319617e-06
Cyp2a5,8.764117574562809e-06
Serpina3g,8.39246086194872e-06
Postn,8.185283083779703e-06
BC029214,1.509652176060873e-06
